id,name,value,timestamp
414,Voltage,0.009677419,2023-03-09 13:21:39.110254
415,Current,0.0,2023-03-09 13:21:39.118271
416,Object Temperature,1037.549927,2023-03-09 13:21:39.120528
417,Temperature,29.0,2023-03-09 13:21:44.702198
418,Humidity,31.0,2023-03-09 13:21:44.720783
419,Voltage,0.009677419,2023-03-09 13:21:44.720783
420,Current,0.0,2023-03-09 13:21:44.733800
421,Object Temperature,1037.549927,2023-03-09 13:21:44.733800
422,Temperature,29.0,2023-03-09 13:21:50.360322
423,Humidity,31.0,2023-03-09 13:21:50.375900
424,Voltage,0.009677419,2023-03-09 13:21:50.375900
425,Current,0.0,2023-03-09 13:21:50.391514
426,Object Temperature,1037.549927,2023-03-09 13:21:50.391514
427,Temperature,29.0,2023-03-09 13:22:31.498227
428,Humidity,31.0,2023-03-09 13:22:31.508485
429,Voltage,0.006451613,2023-03-09 13:22:31.515974
430,Current,0.0,2023-03-09 13:22:31.527436
431,Temperature,29.0,2023-03-09 13:22:36.745941
432,Humidity,31.0,2023-03-09 13:22:36.762102
433,Voltage,0.006451613,2023-03-09 13:22:36.770437
434,Current,0.0,2023-03-09 13:22:36.778765
435,Temperature,29.0,2023-03-09 13:22:42.381756
436,Humidity,31.0,2023-03-09 13:22:42.394177
437,Voltage,0.029032258,2023-03-09 13:22:42.398306
438,Current,0.0,2023-03-09 13:22:42.409626
439,Temperature,29.0,2023-03-09 13:22:47.734750
440,Humidity,31.0,2023-03-09 13:22:47.747282
441,Voltage,0.029032258,2023-03-09 13:22:47.757981
442,Current,0.0,2023-03-09 13:22:47.762539
443,Temperature,29.0,2023-03-09 13:22:53.480422
444,Humidity,31.0,2023-03-09 13:22:53.492951
445,Voltage,0.029032258,2023-03-09 13:22:53.503319
446,Current,0.0,2023-03-09 13:22:53.508813
447,Temperature,30.0,2023-03-09 13:22:58.881423
448,Humidity,31.0,2023-03-09 13:22:58.897680
449,Voltage,0.025806451,2023-03-09 13:22:58.907861
450,Current,0.0,2023-03-09 13:22:58.913222
451,Temperature,30.0,2023-03-09 13:23:04.148089
452,Humidity,31.0,2023-03-09 13:23:04.151606
453,Voltage,0.025806451,2023-03-09 13:23:04.162052
454,Current,0.0,2023-03-09 13:23:04.168073
455,Object Temperature,1037.549927,2023-03-09 13:23:04.176101
456,Temperature,30.0,2023-03-09 13:23:09.467092
457,Humidity,31.0,2023-03-09 13:23:09.474862
458,Voltage,0.006451613,2023-03-09 13:23:09.482993
459,Current,0.0,2023-03-09 13:23:09.491012
460,Object Temperature,1037.549927,2023-03-09 13:23:09.499461
461,Temperature,30.0,2023-03-09 13:23:15.100030
462,Humidity,31.0,2023-03-09 13:23:15.112988
463,Voltage,0.006451613,2023-03-09 13:23:15.121019
464,Current,0.0,2023-03-09 13:23:15.129065
465,Object Temperature,1037.549927,2023-03-09 13:23:15.133749
466,Temperature,30.0,2023-03-09 13:23:20.705234
467,Humidity,31.0,2023-03-09 13:23:20.720061
468,Voltage,0.006451613,2023-03-09 13:23:20.720061
469,Current,0.0,2023-03-09 13:23:20.740675
470,Object Temperature,1037.549927,2023-03-09 13:23:20.745908
471,Temperature,30.0,2023-03-09 13:23:26.261143
472,Humidity,31.0,2023-03-09 13:23:26.269163
473,Voltage,0.003225806,2023-03-09 13:23:26.277147
474,Current,0.0,2023-03-09 13:23:26.285197
475,Object Temperature,1037.549927,2023-03-09 13:23:26.293556
476,Temperature,30.0,2023-03-09 13:23:31.532123
477,Humidity,31.0,2023-03-09 13:23:31.540129
478,Voltage,0.006451613,2023-03-09 13:23:31.551638
479,Current,0.0,2023-03-09 13:23:31.560175
480,Object Temperature,1037.549927,2023-03-09 13:23:31.566399
481,Temperature,30.0,2023-03-09 13:23:41.663794
482,Humidity,31.0,2023-03-09 13:23:41.683301
483,Voltage,0.022580646,2023-03-09 13:23:41.688344
484,Current,0.0,2023-03-09 13:23:41.696426
485,Object Temperature,1037.549927,2023-03-09 13:23:41.708543
486,Temperature,30.0,2023-03-09 13:23:47.275850
487,Humidity,31.0,2023-03-09 13:23:47.295767
488,Voltage,0.006451613,2023-03-09 13:23:47.295767
489,Current,0.0,2023-03-09 13:23:47.305349
490,Object Temperature,1037.549927,2023-03-09 13:23:47.313346
491,Temperature,30.0,2023-03-09 13:23:52.527975
492,Humidity,31.0,2023-03-09 13:23:52.538563
493,Voltage,0.006451613,2023-03-09 13:23:52.544086
494,Current,0.0,2023-03-09 13:23:52.554165
495,Object Temperature,1037.549927,2023-03-09 13:23:52.562118
496,Temperature,30.0,2023-03-09 13:23:58.133219
497,Humidity,31.0,2023-03-09 13:23:58.142719
498,Voltage,0.006451613,2023-03-09 13:23:58.142719
499,Current,0.0,2023-03-09 13:23:58.142719
500,Temperature,30.0,2023-03-09 13:24:08.092024
501,Humidity,31.0,2023-03-09 13:24:08.108165
502,Voltage,0.003225806,2023-03-09 13:24:08.120737
